sentence,label
"별한개도 아깝습니다,,",1
유치한 누구때문에 눈살 찌뿌려지는거 빼곤 재밌네요,0
스크린에서 그들만의리그 방영중이네요! 제가 태어날때 만들어진 영화 처음봤는데 정말재미있어요 야구를 즐겨보는편은아닌데 재밌게보았습니다^^,0
실화로 알고있어요.임정희씨 살아계시다면 꿋꿋하게 생활하세요,0
"쓰레기인간, 인간쓰레기들의 마지막 발악. 별 한개도 아까운 심정.",1
불면증이 완쾌됐어요 정말 감사합니다,1
끝까지...봤다....,1
식상한 내용의 늑대인간 또 새롭게 울궈먹기 시작..  하지만 역시나 기대보다는 실망감만 줌,1
내인생최악의 쓰레기영화,1
"룸메뉴스뜨길래봤더니ㅡ배려한답시고 똥고집세우다 졸음운전한 박민우보다도, 다른팀이 찜통더위에 고생해도 신경안쓰고 자기네들만 먼저가서 놀고있는찬열팀보다도 ,,룸메연출팀이 제일 욕들을만 하다고 본다ㅡ한여름에 차렌탈하면 에어컨부터 보는게 기본이지",1
시간 낭비...아무것도 없슴,1
이런 기본을 잘 지킨 영화가 10점이지.,0
천사멋쪄,0
1점은 아닌거 같아요 기본이 2점은되야죠~~,1
아.. 시간 버렸네..,1
영화괜찮던데..대사나 연출같은것도,0
노잼...다큐수준...다큐임,1
누가 형이냐 ??소름돋는다 .... 야 한스짐머  역시  영화음악은 쵝오!~,0
화재재난 영화를 소재로 한 전무후무한 거장 론 하워드의 또 하나의 걸작. 마지막 대화재 장면은 아름답기까지 하다. 형제애가 무엇인지 잘 보여주는 영화이기도 하다.,0
오락 위주나 흥행 재미 코믹을 원하는 그누구도 이영화의 평점에 속아서는 안되며 절대 이영화를 추천하지 않겠습니다. 다른영화 보세요 지루하고 웃기지도 않고 그냥 화가날 뿐입니다.,1
내용이 부실하면 연출이라도 쫌 잘하지. 그렇다고 사로잡는 연기력의 배우도 없고. 애초에 시나리오부터 미스라 시작부터 끝까지 입구멍에서 하품아니면 욕만나온다.,1
"작가 마인드가 조선시대에 머물러 있는  드라마.. 어줍잖은 남녀대결모드도 그렇고 작가, 감독 능력부족하다 느낍니다. 더군다나 배우 캐스팅도 미스~",1
솔직히 9점은 좀아니다,1
